"voted2004","gender","ageY","ageC","educationC","incomeC","partyAffiliation","percentAttended"
"yes","M",40.134602757715,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.307692307692308
"yes","M",29.109214270081,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.1875
"yes","F",45.5132414094988,"(36.7,45.8]","primary","35k-75k","Unaffiliated/Other",0.153846153846154
"no","F",33.634274458306,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0
"yes","F",35.6669949660757,"(19.2,36.7]","postsec","> 75k","Unaffiliated/Other",0.204545454545455
"yes","M",52.7358284088422,"(45.8,54.2]","primary","35k-75k","Democrat",0.113636363636364
"yes","M",55.7917487415189,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.0681818181818182
"yes","F",47.4392646093237,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0.552631578947368
"yes","F",69.1152330925804,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.25
"yes","F",51.9260231998249,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.113636363636364
"no","M",32.559093893631,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.0454545454545455
"yes","F",59.881812212738,"(54.2,108]","primary","> 75k","Unaffiliated/Other",0.113636363636364
"yes","M",48.4433136353688,"(45.8,54.2]","postsec","35k-75k","Republican",0.272727272727273
"yes","M",44.3395710221055,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.34375
"no","M",51.3077259794266,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0.340909090909091
"yes","F",50.7441453272051,"(45.8,54.2]","secondary","35k-75k","Democrat",0.368421052631579
"yes","M",50.5334865397242,"(45.8,54.2]","secondary","35k-75k","Democrat",0.227272727272727
"no","M",76.4198949441891,"(54.2,108]","secondary","< 35k","Unaffiliated/Other",0.159090909090909
"yes","F",76.6934777850733,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.0571428571428571
"no","F",29.6071350404903,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.136363636363636
"no","M",45.0426789231779,"(36.7,45.8]","secondary","35k-75k","Democrat",0.431818181818182
"yes","M",54.6454366382141,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0.192307692307692
